txt,result
나 어린이집 다닐 때 잠깐 사물함 뒤쪽에 뭐 좀 넣어놓고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 그윽하게 보더니 ”이것만은 잊지마” 라고 하고 볼에 뽀뽀해주고 갔어,2
나 유치원 때 잠깐 사물함 뒤쪽에 뭐 좀 넣고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 그윽하게 보더니 ”이것만은 잊지마” 라고 하고 볼에 뽀뽀해주고 갔어,2
나 유치원생 일 때 잠깐 사물함 뒤쪽에 뭐 좀 넣어놓고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 지켜보더니 ”이것만은 잊지마” 라고 하고 볼에 뽀뽀해주고 갔어,2
나 유치원 때 잠깐 서랍장 뒤쪽에 뭐 좀 넣어놓고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 그윽하게 보더니 ”이것만은 잊지마” 라고 하고 볼에 뽀뽀해주고 갔어,2
나 어린이집 다닐 때 잠깐 서랍 뒤쪽에 뭐 좀 넣고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 지켜보더니 ”이것만은 잊지마” 하고 볼에 뽀뽀해주고 갔어,2
나 유치원 때 잠깐 사물함 뒤쪽에 뭐 좀 넣어놓고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 그윽하게 보더니 ”이것만은 까먹지 마” 라고 하고 볼에 뽀뽀해주고 갔어,2
나 유치원 때 잠깐 사물함 뒤쪽에 뭐 좀 넣어놓고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 그윽하게 보더니 ”이거는 잊지마” 라고 하고 볼에 뽀뽀해주고 갔어,2
나 중학교 3학년 때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하는 말투로 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 맨날 톡하고 전화하고 한창 가까이 지내던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하는 말투로 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 매일 톡하고 전화하고 한창 꽁냥대던 호감이 있는 남자애가 있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하는 말투로 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산을 안가져와서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하는 말투로 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 비맞고 집으로 뛰어왔어. 그래서 얘한테 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하는 말투로 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하면서 비맞으면 안되는데.. 감기걸리면 어떡해 나한테 연락하지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하면서 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 부른다고 올까라는 생각이 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하면서 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 생각했지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하는 말투로 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 내 친구한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하는 말투로 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 결정적인 것은 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
꽈배기 먹다가 설탕이 입에 묻었는데 그걸 맨손으로 털어주던 호감있던 남자에게 설랬었어요. 알고 보니 끼부리는 사람… 어장이었지만요ㅠㅠㅠㅠ,0
꽈배기 먹다가 설탕이 입에 묻었는데 그걸 맨손으로 털어주던 썸남에게 설랬었어요. 알아보니 끼부리는 사람… 어장이었지만요ㅠㅠㅠㅠ,0
간식 먹다가 설탕이 입에 묻었는데 그걸 맨손으로 털어주던 썸남에게 설랬었어요. 알고 보니 끼부리는 사람… 어장이었지만요ㅠㅠㅠㅠ,0
꽈배기 먹다가 소스가 입에 묻었는데 그걸 맨손으로 털어주던 썸남에게 설랬었어요. 알고 보니 끼부리는 사람… 어장이었지만요ㅠㅠㅠㅠ,0
꽈배기 먹다가 설탕이 입에 묻었는데 그걸 맨손으로 털어주던 썸남에게 설랬었어요. 알고 보니 가벼운 사람… 어장이었지만요ㅠㅠㅠㅠ,0
꽈배기 먹다가 설탕이 입에 묻었는데 그걸 맨손으로 털어주던 썸남에게 설랬었어요. 알고 보니 애교가 많은 사람… 어장이었지만요ㅠㅠㅠㅠ,0
꽈배기 먹다가 설탕이 입에 묻었는데 그걸 맨손으로 털어주던 썸남에게 설랬었어요. 알고 보니 끼가 다분한 사람… 어장이었지만요ㅠㅠㅠㅠ,0
꽈배기 먹다가 설탕이 입에 묻었는데 그걸 맨손으로 털어주던 썸남에게 설랬었어요. 알고 보니 끼부리는 사람… 어장의 물고기였지만요ㅠㅠㅠㅠ,0
꽈배기 먹다가 설탕이 입에 묻었는데 그걸 맨손으로 털어주던 썸남에게 설랬었어요. 알고 보니 끼부리는 사람… 어장이었어요,0
꽈배기 먹다가 설탕이 얼굴에 묻었는데 그걸 손으로 닦아주던 썸남에게 설랬었어요. 알고 보니 끼부리는 사람… 저 말고 다른 사람도 있었지만요..,0
"병원 입원했을 때 팔에 링거가 많이 꽂혀있어서 혼자서 머리를 묶을 수 없어 낑낑거리고 있었는데 그 때 남자 방사선사 선생님께서 쭈뼛거리며 다가오셔서 “묶어드릴까요?” 라고 조심스럽게 물어보시면서, 저보다 본인이 더 많이 수줍하시면서 제 머리카락을 어설프고 서툴지만 열심히 묶어주셨어요",0
"병원 입원했을 때 팔에 링거가 많이 꽂혀있어서 스스로 머리를 묶을 수 없어 힘들어하고 있었는데 그 때 남자 방사선사 선생님께서 쭈뼛거리며 다가오셔서 “묶어드릴까요?” 라고 조심스럽게 물어보시면서, 저보다 본인이 더 많이 수줍하시면서 제 머리카락을 어설프고 서툴지만 열심히 묶어주셨어요",0
"병원 입원했을 때 팔에 링거가 많이 꽂혀있어서 스스로 머리를 묶을 수 없어 낑낑거리고 있을 때 남자 선생님께서 쭈뼛거리며 다가오셔서 “묶어드릴까요?” 라고 조심스럽게 물어보시면서, 저보다 본인이 더 많이 수줍하시면서 제 머리카락을 어설프고 서툴지만 열심히 묶어주셨어요",0
"병원 입원했을 때 팔에 링거가 많이 꽂혀있어서 스스로 머리를 묶을 수 없어 낑깅거리고 있었는데 그 때 남자 방사선사 선생님께서 조심스럽게 다가오셔서 “묶어드릴까요?” 라고 조심스럽게 물어보시면서, 저보다 본인이 더 많이 수줍하시면서 제 머리카락을 어설프고 서툴지만 열심히 묶어주셨어요",0
"병원 입원했을 때 팔에 링거가 많이 꽂혀있어서 스스로 머리를 묶을 수 없어 낑깅거리고 있었는데 그 때 남자 방사선사 선생님께서 쭈뼛거리며 다가오셔서 “묶어드릴까요?” 라고 조심스럽게 물어보시면서, 저보다 당사자가 더 많이 수줍하시면서 제 머리카락을 어설프고 서툴지만 열심히 묶어주셨어요",0
"병원 입원했을 때 팔에 링거가 많이 꽂혀있어서 스스로 머리를 묶을 수 없어 낑깅거리고 있었는데 그 때 남자 방사선사 선생님께서 쭈뼛거리며 다가오셔서 “묶어드릴까요?” 라고 조심스럽게 물어보시면서, 저보다 본인이 더 많이 수줍하시면서 제 머리를 어설프고 서툴지만 열심히 묶어주셨어요",0
"병원 입원했을 때 팔에 링거가 많이 꽂혀있어서 스스로 머리를 묶을 수 없어 낑깅거리고 있었는데 그 때 남자 방사선사 선생님께서 쭈뼛거리며 다가오셔서 “묶어드릴까요?” 라고 조심스럽게 물어보시면서, 저보다 본인이 더 많이 수줍하시면서 제 머리카락을 미숙하고 서툴지만 열심히 묶어주셨어요",0
"병원 입원했을 때 팔에 링거가 많이 꽂혀있어서 스스로 머리를 묶을 수 없어 낑깅거리고 있었는데 그 때 남자 방사선사 선생님께서 쭈뼛거리며 다가오셔서 “묶어드릴까요?” 라고 조심스럽게 물어보시면서, 저보다 본인이 더 많이 수줍하시면서 제 머리카락을 어색하고 서툴지만 열심히 묶어주셨어요",0
"남친이 대학 선배였는데.. 나 엄청 도와주고 젤리 같은 거 주면서 호감 표시하다가, 어쩌다가 다쳐서.. 내가 너무 미안해서 밴드랑 약 사서 발라줬었다. 그리고 나중에 오빠가 전시회 티켓 주면서 같이 가자고.. 그때 썸인데 막 손 잡고.. 캐리커쳐 그리는 거 받고.. 돌아오는 길에 놀이터에서 얘기하다가 고백 받았다.",2
"남친이 과선배였는데.. 나 엄청 도와주고 젤리 같은 거 주면서 관심 표시하다가, 어쩌다가 다쳐서.. 내가 너무 미안해서 밴드랑 약 사서 발라줬었다. 그리고 나중에 오빠가 전시회 티켓 주면서 같이 가자고.. 그때 썸인데 막 손 잡고.. 캐리커쳐 그리는 거 받고.. 돌아오는 길에 놀이터에서 얘기하다가 고백 받았다.",2
"남친이 과선배였는데.. 나 엄청 도와주고 젤리 같은 거 주면서 호감 표시하다가, 남친이 어쩌다가 다쳐서.. 내가 너무 미안해서 밴드랑 약 사서 발라줬었다. 그리고 나중에 오빠가 전시회 티켓 주면서 같이 가자고.. 그때 썸인데 막 손 잡고.. 캐리커쳐 그리는 거 받고.. 돌아오는 길에 놀이터에서 얘기하다가 고백 받았다.",2
"남친이 과선배였는데.. 나 엄청 도와주고 젤리 같은 거 주면서 호감 표시하다가, 어쩌다가 오빠가 다쳐서.. 내가 너무 미안해서 밴드랑 약 사서 발라줬었다. 그리고 나중에 오빠가 전시회 티켓 주면서 같이 가자고.. 그때 썸인데 막 손 잡고.. 캐리커쳐 그리는 거 받고.. 돌아오는 길에 놀이터에서 얘기하다가 고백 받았다.",2
"남친이 과선배였는데.. 나 엄청 도와주고 젤리 같은 거 주면서 호감 표시하다가, 어쩌다가 다쳐서.. 내가 너무 미안해서 밴드랑 약 사서 발라줬었다. 그리고 나중에 오빠가 전시회 같이 가자고.. 그때 썸인데 막 손 잡고.. 캐리커쳐 그리는 거 받고.. 돌아오는 길에 놀이터에서 얘기하다가 고백 받았다.",2
"남친이 과선배였는데.. 나 엄청 도와주고 젤리 같은 거 주면서 호감 표시하다가, 어쩌다가 다쳐서.. 내가 너무 미안해서 밴드랑 약 사서 발라줬었다. 그리고 나중에 오빠가 전시회 티켓 주면서 같이 가자고.. 그때 썸 기간인데 막 손 잡고.. 캐리커쳐 그리는 거 받고.. 돌아오는 길에 놀이터에서 얘기하다가 고백 받았다.",2
"남친이 과선배였는데.. 나 엄청 도와주고 젤리 같은 거 주면서 호감 표시하다가, 어쩌다가 다쳐서.. 내가 너무 미안해서 밴드랑 약 사서 발라줬었다. 그리고 나중에 오빠가 전시회 티켓 주면서 같이 가자고.. 그때 썸인데 막 손 잡고.. 그림 그리는 거 받고.. 돌아오는 길에 놀이터에서 얘기하다가 고백 받았다.",2
"남친이 과선배였는데.. 나 엄청 도와주고 젤리 같은 거 주면서 호감 표시하다가, 어쩌다가 다쳐서.. 내가 너무 미안해서 밴드랑 약 사서 발라줬었다. 그리고 나중에 오빠가 전시회 티켓 주면서 같이 가자고.. 그때 썸인데 막 손 잡고.. 돌아오는 길에 놀이터에서 얘기하다가 고백 받았다.",2
"남친이 과선배였는데.. 나 엄청 도와주고 젤리 같은 거 주면서 호감 표시하다가, 어쩌다가 다쳐서.. 내가 너무 미안해서 밴드랑 약 사서 발라줬었다. 그리고 나중에 오빠가 전시회 티켓 주면서 같이 가자고.. 그때 썸인데 막 손 잡고.. 캐리커쳐 그리는 거 받고.. 집으로 돌아오는 길에 놀이터에서 얘기하다가 고백 받았다.",2
"남친이 과선배였는데.. 나 엄청 도와주고 젤리 같은 거 주면서 호감 표시하다가, 어쩌다가 다쳐서.. 내가 너무 미안해서 밴드랑 약 사서 발라줬었다. 그리고 나중에 오빠가 전시회 티켓 주면서 같이 가자고.. 그때 썸인데 손 잡고.. 캐리커쳐 그리는 거 받고.. 돌아오는 길에 놀이터에서 고백 받았다.",2
"단골 카페에 젊은 사장님이 있었어요. 프레즐이나 브레드 서비스로 줄 때는 단골한테 엄청 후하다 했었는데, 야작하다가 추한 몰골로 가도 “쌩얼이 더 예쁘시네요” 하고 말걸고 계속 알아봐주고. 그러다가 사장님이 작은 상자 내밀면서 가게 이벤트가 있는데 여기에 번호 적어서 넣으면 당첨이 된다는 거에요. 제가 저 안해도 된다고 했더니 엄청 당황하면서 “어.. 해야되는데.. 이거 사실 손님한테만 하는 이벤트에요. 100프로 당첨인데.. 아 그냥 멋있게 번호 물어볼걸..”",2
"자주 가는 단골 카페에 젊은 사장님이 있었어요. 빵이나 간식 서비스로 줄 때는 단골한테 엄청 후하다 했었는데, 야작하다가 추한 몰골로 가도 “쌩얼이 더 예쁘시네요” 하고 말걸고 계속 알아봐주고. 그러다가 사장님이 작은 상자 내밀면서 가게 이벤트가 있는데 여기에 번호 적어서 넣으면 당첨이 된다는 거에요. 제가 저 안해도 된다고 했더니 엄청 당황하면서 “어.. 해야되는데.. 이거 사실 손님한테만 하는 이벤트에요. 100프로 당첨인데.. 아 그냥 멋있게 번호 물어볼걸..”",2
"자주 가는 단골 카페에 젊은 사장님이 있었어요. 프레즐이나 브레드 서비스로 줄 때는 손님한테 엄청 후하다 했었는데, 야작하다가 추한 몰골로 가도 “쌩얼이 더 예쁘시네요” 하고 말걸고 계속 알아봐주고. 그러다가 사장님이 작은 상자 내밀면서 가게 이벤트가 있는데 여기에 번호 적어서 넣으면 당첨이 된다는 거에요. 제가 저 안해도 된다고 했더니 엄청 당황하면서 “어.. 해야되는데.. 이거 사실 손님한테만 하는 이벤트에요. 100프로 당첨인데.. 아 그냥 멋있게 번호 물어볼걸..”",2
"자주 가는 단골 카페에 젊은 사장님이 있었어요. 프레즐이나 브레드 서비스로 줄 때는 단골한테 엄청 후하다 했었는데, 야간작업 하다가 추한 몰골로 가도 “쌩얼이 더 예쁘시네요” 하고 말걸고 계속 알아봐주고. 그러다가 사장님이 작은 상자 내밀면서 가게 이벤트가 있는데 여기에 번호 적어서 넣으면 당첨이 된다는 거에요. 제가 저 안해도 된다고 했더니 엄청 당황하면서 “어.. 해야되는데.. 이거 사실 손님한테만 하는 이벤트에요. 100프로 당첨인데.. 아 그냥 멋있게 번호 물어볼걸..”",2
"자주 가는 단골 카페에 젊은 사장님이 있었어요. 프레즐이나 브레드 서비스로 줄 때는 단골한테 엄청 후하다 했었는데, 늦게까지 일하다가 추한 몰골로 가도 “쌩얼이 더 예쁘시네요” 하고 말걸고 계속 알아봐주고. 그러다가 사장님이 작은 상자 내밀면서 가게 이벤트가 있는데 여기에 번호 적어서 넣으면 당첨이 된다는 거에요. 제가 저 안해도 된다고 했더니 엄청 당황하면서 “어.. 해야되는데.. 이거 사실 손님한테만 하는 이벤트에요. 100프로 당첨인데.. 아 그냥 멋있게 번호 물어볼걸..”",2
"자주 가는 단골 카페에 젊은 사장님이 있었어요. 프레즐이나 브레드 서비스로 줄 때는 단골한테 엄청 후하다 했었는데, 야작하다가 추한 몰골로 가도 “맨 얼굴이 더 예쁘시네요” 하고 말걸고 계속 알아봐주고. 그러다가 사장님이 작은 상자 내밀면서 가게 이벤트가 있는데 여기에 번호 적어서 넣으면 당첨이 된다는 거에요. 제가 저 안해도 된다고 했더니 엄청 당황하면서 “어.. 해야되는데.. 이거 사실 손님한테만 하는 이벤트에요. 100프로 당첨인데.. 아 그냥 멋있게 번호 물어볼걸..”",2
"자주 가는 단골 카페에 젊은 사장님이 있었어요. 프레즐이나 브레드 서비스로 줄 때는 단골한테 엄청 후하다 했었는데, 야작하다가 추한 몰골로 가도 “쌩얼이 더 예쁘시네요” 하고 말걸고 계속 알아봐주고. 그러다가 사장님이 작은 상자 내밀면서 가게 행사가 있는데 여기에 번호 적어서 넣으면 당첨이 된다는 거에요. 제가 저 안해도 된다고 했더니 엄청 당황하면서 “어.. 해야되는데.. 이거 사실 손님한테만 하는 이벤트에요. 100프로 당첨인데.. 아 그냥 멋있게 번호 물어볼걸..”",2
"자주 가는 단골 카페에 젊은 사장님이 있었어요. 프레즐이나 브레드 서비스로 줄 때는 단골한테 엄청 후하다 했었는데, 야작하다가 추한 몰골로 가도 “쌩얼이 더 예쁘시네요” 하고 말걸고 계속 알아봐주고. 그러다가 사장님이 작은 상자 내밀면서 가게 이벤트가 있는데 여기에 번호 적어서 넣으면 당첨이 된다는 거에요. 저 안해도 된다고 말했더니 엄청 당황하면서 “어.. 해야되는데.. 이거 사실 손님한테만 하는 이벤트에요. 100프로 당첨인데.. 아 그냥 멋있게 번호 물어볼걸..”",2
"자주 가는 단골 카페에 젊은 사장님이 있었어요. 프레즐이나 브레드 서비스로 줄 때는 단골한테 엄청 후하다 했었는데, 야작하다가 추한 몰골로 가도 “쌩얼이 더 예쁘시네요” 하고 말걸고 계속 알아봐주고. 그러다가 사장님이 작은 상자 내밀면서 가게 이벤트가 있는데 여기에 번호 적어서 넣으면 당첨이 된다는 거에요. 제가 저 안해도 된다고 했더니 엄청 당황하면서 “어.. 해야되는데.. 이거 사실 손님을 위한 이벤트에요. 100프로 당첨인데.. 아 그냥 멋있게 번호 물어볼걸..”",2
"자주 가는 단골 카페에 젊은 사장님이 있었어요. 프레즐이나 브레드 서비스로 줄 때는 단골한테 엄청 후하다 했었는데, 야작하다가 추한 몰골로 가도 “쌩얼이 더 예쁘시네요” 하고 말걸고 계속 알아봐주고. 그러다가 사장님이 작은 상자 내밀면서 가게 이벤트가 있는데 여기에 번호 적어서 넣으면 당첨이 된다는 거에요. 제가 저 안해도 된다고 했더니 엄청 당황하면서 “어.. 해야되는데.. 이거 사실 손님한테만 하는 이벤트에요. 무조건 당첨인데.. 아 그냥 멋있게 번호 물어볼걸..”",2
밤 늦게까지 술마시고 집을 가야하는 상황이였는데 한푼도 없었대요. 그래도 일단 집에 가야해서 대책없이 택시를 탔대요. 같은 방향가는 모르는 남자랑 합승해서요. 엄마가 먼저 내려야하는데 돈이 없어서 택시 아저씨한테 돈 가져올 때까지만 기다려달라고 하는데 합승했던 남자가 돈 내가 대신 내줄테니까 전화번호를 달라고 했대요.,2
밤 늦게까지 술마시고 집을 가야하는 상황이였는데 돈이 하나도 없었대요. 그래도 일단 택시를 탔대요. 같은 방향가는 모르는 남자랑 합승해서요. 엄마가 먼저 내려야하는데 돈이 없어서 택시 아저씨한테 돈 가져올 때까지만 기다려달라고 하는데 합승했던 남자가 돈 내가 대신 내줄테니까 전화번호를 달라고 했대요.,2
